SAVOONGA AIRPORT    AK - 702035                                                 														
 63 deg    41' N  170 deg    30' W - Elev   16m   LST=GMT+99 hours   *NT=-11    														
 06/87-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	10	2.4	2.3	7	9.7	10.1	10.4	12.1	11	8.4	8.2	6	4.3	3	2.1	1	0.9	0.2	0.2	0.2	0.2	0.1	0	0	0	0	0
	11	1.6	1.2	3.4	5	7.6	8.6	9.4	10.7	9.2	10.5	8.4	8	5.6	3.7	2	2	0.6	0.7	0.6	0.4	0.3	0.2	0	0.1	0	0
	12	4.7	3.3	8.3	9.6	9.7	10	11	9.7	7.6	6.6	5.8	4.7	3.3	2.1	1.3	1	0.4	0.3	0.3	0.1	0	0	0	0	0	0
PERCENT OF POWER BY SPEED                                                       																											
	Month	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
	ALL	0	0	0.4	1.1	2.3	3.8	6.2	7.8	8	10.2	9.9	9.9	8.8	7.1	5.3	5.2	2.4	2.6	2.7	1.9	1.5	0.9	0.5	0.8	0.4	0.2
	1	0	0	0.3	1	2.3	3.7	5.1	6.5	6.9	8.9	9.2	9.9	8.8	8	5.7	3.8	2.5	3.6	3	3	4	1	0.3	2	0	0.4
	2	0	0	0.3	0.9	2	3.1	5.1	6.3	5.3	7.4	7.6	6.9	8.4	7.6	6.1	9.9	4.5	3.6	4.7	2.4	1.8	2.4	1.5	1.7	0	0.4
	3	0	0	0.4	1.4	2.4	3.6	6	7.9	7.8	9.4	8.1	8.3	9	7.3	6.5	4.1	3.1	2.9	4.3	3.3	1.3	1.9	0.4	0.5	0	0
	4	0	0.1	0.5	1.7	3.1	4.5	6.8	7.7	7	11.5	7.9	7.3	5.1	6.1	3.9	4.4	2.2	2.5	2.7	2.8	1.7	1.2	2.7	2.6	3.5	0.7
	5	0	0.1	0.8	2.2	4.2	6.7	10.1	10.2	10.7	11	10	7.8	6.3	5.4	4.6	3.1	1.6	2.8	1.8	0.6	0	0	0	0	0	0
	6	0	0.1	1.2	3.3	5.7	9.2	13.6	13.7	13.2	13.5	12.1	6.9	3.6	0.6	0.7	1.3	0	0	1.4	0	0	0	0	0	0	0
